name,type,cell_id,google_id,status,search,source,geometry,neighborhood,x,y,id
Boston's Basilica of Our Lady of Perpetual Help,Places of Worship,Cell 107,NA,"new, visited",NA,humancoding_fall,"c(-71.1001376, 42.3330994)",Mission Hill,-71.1001376,42.3330994,219
Boston's Old City Hall,Community Spaces,Cell 174,ChIJQ7Q7joRw44kRj_kfu-LuUyw,checked,city hall,google_api,"c(-71.05922, 42.358062)",Downtown,-71.05922,42.358062,220
Bowditch Garden,Parks,Cell 75,NA,new,NA,humancoding_fall,"c(-71.1091456, 42.3115582)",Jamaica Plain,-71.1091456,42.3115582,222
Bowdoin Square Theatre,Parks,Cell 174,ChIJuzUYS4Vw44kRC4cH1SUhSnM,checked,square,google_api,"c(-71.061559, 42.361385)",Downtown,-71.061559,42.361385,223
"Boylston Congregational Church
",Places of Worship,Cell 84,NA,new,NA,humancoding_fall,"c(-71.1029465, 42.3168907)",Jamaica Plain,-71.1029465,42.3168907,224
Braddock Park,Parks,Cell 144,ChIJOfreMRJ644kRlnKu114w8ck,checked,park,google_api,"c(-71.078738, 42.344325)",South End,-71.078738,42.344325,225
Brassica Kitchen + Cafe,Social Businesses,Cell 66,ChIJ_yTpjkN544kRUPb35E7CcnM,checked,cafe,google_api,"c(-71.113075, 42.300249)",Jamaica Plain,-71.113075,42.300249,226
Brato Brewhouse & Kitchen,Social Businesses,Cell 138,NA,new,NA,humancoding_fall,"c(-71.1479553, 42.3556598)",Brighton,-71.1479553,42.3556598,227
Brattle Book Shop,Social Businesses,Cell 162,ChIJ6w6dMZ1w44kR_UV15er0TqU,checked,bookstore,google_api,"c(-71.061998, 42.354665)",Downtown,-71.061998,42.354665,228
Brazilian Community of East Boston,Places of Worship,Cell 225,ChIJY7c7e9dx44kRUsSfayC2QRQ,checked,place of worship,google_api,"c(-71.006108, 42.390318)",East Boston,-71.006108,42.390318,229
Bremen Street Community Garden,Community Spaces,Cell 207,NA,new,NA,humancoding_fall,"c(-71.0285329, 42.3772039)",East Boston,-71.0285329,42.3772039,230
Bremen Street Community Park,Parks,Cell 196,ChIJ_-NgbUZw44kR1Zk_gm9F_7w,checked,park,google_api,"c(-71.030962, 42.375127)",East Boston,-71.030962,42.375127,231
Bremen Street Park II,Parks,Cell 207,NA,new,NA,humancoding_fall,"c(-71.0260701, 42.3780548)",East Boston,-71.0260701,42.3780548,232
